Cargo Atual,Quant.
CCE-8 Coordenador Pedagogo  (SMEC),3
CCE-8 Coordenador Regional de Atenção Social (SMDS),8
CCE-8 Diretor Adjunto de Iluminação Pública (SMTSP),1
CCE-8 Diretor Casa Creche Cat. B,8
CCE-8 Diretor de Programa,2
CCE-8 Diretor do Depart. Municipal de Transito,1
CCE-9 Assessor Adjunto de Análise de Projetos (SMU),1
CCE-9 Assessor de Desenvolvimento Social,10
CCE-9 Assessor de Faturamento (Saúde),1
CCE-9 Assessor de Gabinete (SMGab),4
CCE-9 Assessor de Operações Especiais (SMU),5
CCE-9 Assessor Especial,9
CCE-9 Assessor Especial de Projetos e Convenios,1
CCE-9 Coordenador de Apoio Ativ de Ordem Publica (SMSOP),5
CCE-9 Coordenador de Atenção aos Animais (SMDir.Animais),5
CCE-9 Coordenador de Prestação de Contas (CGM),1
CCE-9 Coordenador de Procedimentos Admint.(PGM),2
CCE-9 Coordenador do Centro Esp. de Reabilitação (Saúde),1
CCE-9 Coordenador Geral,1
CCE-9 Diretor Adjunto de Arrecadação (SMART),1
CCE-9 Diretor Adjunto de Esportes Educac  (SMEC),1
CCE-9 Diretor Adjunto de Logística  (SMEC),1
CCE-9 Diretor Adjunto de Patrimônio  (SMEC),1
CCE-9 Diretor Adjunto de Recursos Humanos  (SMEC),1
CCE-9 Diretor Administrativo,1
CCE-9 Diretor Articulação Fundos Ent. Governamentais(SMS),1
CCE-9 Diretor Casa Creche Cat. A,8
CCE-9 Diretor da Central de Regulação (SMS),1
CCE-9 Diretor de Abastecimento (SMTSP),1
CCE-9 Diretor de Gestão,1
CCE-9 Diretor de Odontologia do PSF,1
CCE-9 Diretor do Parque de Expo.Agrop.Mun (SMAAPesca),1
CCE-9 Diretor Executivo de Obras Públicas (SMOU),1
CCE-9 Diretor Tecnico,1
CCEE- Coordenador Ativ. Cat-A,28
CCEE- Coordenador Ativ. Cat-B,24
CCEE- Coordenador Ativ. Cat-C,21
CCEE- Coordenador Ativ. Cat-D,27
CCEE- Coordenador Turno Cat-A,26
CCEE- Coordenador Turno Cat-B,22
CCEE- Coordenador Turno Cat-C,20
CCEE- Coordenador Turno Cat-D,25
Conselheiro Tutelar,5
Contador,2
Cuidador de Pessoa Idosa,19
Cuidador Infantil,16
DAT-3 Chefe de Setor,1
DAT-4 Agente de transito,49
Desenhista Cadista,1
Eletricista,1
Eletricista de Parede,2
Enfermeiro,19
Engenheiro Ambiental,1
Engenheiro Civil,6
Engenheiro Florestal,1
ESTAGIO EDUCACIONAL (EDUCACAO SUPERIOR),206
Farmaceutico,6
Fiscal de Obras,7
Fiscal de Obras e Posturas,7
Fiscal de Posturas,4
Fisioterapeuta,6
Fonoaudiologo,6
Gari,9
Geologo,1
Gestor Publico,1
Guarda Ambiental,10
Guarda Municipal,77
Guarda-Vidas,38
Inspetor de Alunos,5
Inspetor Escolar D,23
Inspetor Escolar E,7
Instrutor de Atividades Artísticas,26
Instrutor de Atividades Esportivas,24
Instrutor de Atividades Tecnologicas,29
Instrutor de Linguas Estrangeiras,25
Interprete/Tradutor de Libras,1
Massoterapeuta,4
Mecanico,2
Medico,33
Medico Anestesista Plantonista,2
Medico Angiologista,1
Medico Cardiologista Ambulatório,4
Medico Cirurgiao Geral Plantonista,2
Medico Clinico Geral ambulatório,1
Medico Dermatologista,3
Medico Endocrinologista,4
Medico Gastroenterologista,1
Medico Geriatra Ambulatório,1
Medico Ginecologista e Obstetra Plantonista,1
Medico Hepatologista Ambulatorio,2
Medico Infectologista DST e AIDS,3
Medico Mastologista,2
Medico Nefrologista,1
Medico Neurocirurgiao,1
Medico Oftalmologista,1
Medico Ortopedista Plantonista,5
Medico Pediatra Ambulatorio,4
Medico Pediatra Plantao,6
Medico Pneumologista,1
Medico Proctologista,1
Medico Pronto Socorrista Plantonista,2
Medico Urologista,1
Medico Veterinario,2
Merendeira,9
Motorista,18
Motorista de Ambulancia,11
Motorista I - Veiculos Leves,13
Motorista II - Ambulancia/Van,8
Motorista III - Veiculos Pesados,3
Motorista IV (Transporte Escolar),10
Museologo,1
NOVO CIDADAO,177
Nutricionista,8
Odontologo,7
Operador de Maquina,1
Operador de Maquinas Pesadas,1
Operario,6
Orientador Educacional D,34
Orientador Educacional E,11
Orientador Pedagógico D,23
Orientador Pedagógico E,13
Orientador Pedagógico F,1
Pedreiro,1
Pintor de Parede,2
Prefeito,1
Procurador,9
Professor de Educação Especial (MG-1A),53
Professor de Educação Especial (MG-1D),2
Professor de Educação Especial (MG-1E),23
Professor de Libras Ouvinte,1
Professor de Libras Surdo,2
Professor Docente - 1,943
Professor Docente - 2 Arte,24
Professor Docente - 2 Ciencias,40
Professor Docente - 2 Educacao Fisica,24
Professor Docente - 2 Estudos Turisticos,18
Professor Docente - 2 Geografia,28
Professor Docente - 2 Historia,29
Professor Docente - 2 Lingua Inglesa,24
Professor Docente - 2 Lingua Portuguesa,75
Professor Docente - 2 Matematica,80
Professor MG-1A,171
Professor MG-1B,1
Professor MG-1C,1
Professor MG-1D,100
Professor MG-1E,513
Professor MG-1F,4
Professor MG-2D,7
Professor MG-2D Ciencias,8
Professor MG-2D Educacao Artistica,6
Professor MG-2D Educacao Fisica,3
Professor MG-2D Estudos Turisticos,1
Professor MG-2D Geografia,2
Professor MG-2D Historia,4
Professor MG-2D Lingua Inglesa,3
Professor MG-2D Lingua Portuguesa,11
Professor MG-2D Matematica,6
Professor MG-2E,12
Professor MG-2E Ciencias,16
Professor MG-2E Educacao Artistica,6
Professor MG-2E Educacao Fisica,7
Professor MG-2E Estudos Turisticos,10
Professor MG-2E Geografia,13
Professor MG-2E Historia,4
Professor MG-2E Lingua Inglesa,5
Professor MG-2E Lingua Portuguesa,15
Professor MG-2E Matematica,11
Professor MG-2F,5
Professor MG-2F Ciencias,2
Professor MG-2F Educacao Artistica,1
Professor MG-2F Estudos Turisticos,3
Professor MG-2F Geografia,3
Professor MG-2F Historia,11
Professor MG-2F Lingua Portuguesa,10
Professor MG-2G Ciencias,4
Professor MG-2G Geografia,1
Professor MG-2G Historia,3
Professor MG-2G Lingua Portuguesa,1
Professor MG-3D,3
Professor MG-3E,4
Profissional de Apoio ao Estudante com Deficiencia,1011
Profissional de Informatica Educativa,3
Psicologo,30
Psicologo Educacional,13
Psicologo Educacional E,1
Psicologo Educacional G,1
Recepcionista,4
Secretario Escolar,25
Secretario Municipal,24
Soldador Eletrico,2
Supervisor Educacional E,6
Supervisor Educacional F,2
Tecnico Agricola,1
Tecnico Aparelho Gessado,3
Tecnico de Enfermagem,79
Tecnico Em Agropecuária,1
Tecnico Em Contabilidade,1
Tecnico em Hemoterapia,2
Telefonista,3
Terapeuta Ocupacional,3
Trabalhador Braçal,52
Turismologo,1
Vice-prefeito,1
Total Geral,7453
