Tipo,Numero,Ano,Edicao,Ano_Edicao,Contratante,Contratada,CNPJ,Objeto,Valor
TERMO_ADITIVO,018 (Aditivo 2),2023,1787,7,Município de Saquarema,"Prontomar   Bazar   e   Re-",,"Prorrogação da vigência e redu-",130016.06
TERMO_ADITIVO,041 (Aditivo 2),2023,1787,7,Município de Saquarema,"Prontomar   Bazar   e   Re-",,"Prorrogação da vigência e redu-",337987.11
TERMO_ADITIVO,110 (Aditivo 1),2024,1787,7,Município de Saquarema,"Sociedade  de  Ensino  Su-",34.075.739/0001-84.,"Prorrogação do prazo da vigên-",180000.00
CONTRATO,151,2025,1788,7,Município de Saquarema,"Não identificada",,"Não especificado",0.00
CONTRATO,149,2025,1788,7,Município de Saquarema,"Não identificada",,"Não especificado",0.00
CONTRATO,152,2025,1788,7,Município de Saquarema,"Não identificada",,"Não especificado",0.00
CONTRATO,150,2025,1788,7,Município de Saquarema,"Não identificada",,"Não especificado",0.00
CONTRATO,029,2025,1788,7,Município  de  Saquarema/,"Creative  Licitações  LTDA",54.362.519/0001-49.,"Aquisição de eletrodomésticos, para atender o Conselho Tutelar e o Abri- go Raio de Sol.",29094.00
CONTRATO,030,2025,1788,7,Município  de  Saquarema/,"Invista Business Distribuido-",16.820.967/0001-50.,"Aquisição de eletrodomésticos, para atender o Conselho Tutelar e o Abri- go Raio de Sol.",2669.00
CONTRATO,031,2025,1788,7,Município  de  Saquarema/,"Createch  Comércio  e  So-",25.406.063/0001-73.,"Aquisição de eletrodomésticos, para atender o Conselho Tutelar e o Abri- go Raio de Sol.",3400.00
CONTRATO,028,2025,1788,7,Município  de  Saquarema/,"M   Felipe   Galvão   LTDA",24.183.988/0001-30.,"Aquisição de eletrodomésticos, para atender a Secretaria Municipal de Desenvolvimento Social, Setor do Bolsa Família e o CRAS.",37840.00
CONTRATO,029,2025,1788,7,Município  de  Saquarema/,"Amena  Climatização  LTDA",46.368.367/0001-63.,"Aquisição de eletrodomésticos, para atender a Secretaria Municipal de Desenvolvimento Social.",570.00
